Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0
Streptococcus pyogenes MGAS10270,CP000260,1829,899,930,Yes,1,16S,2,((((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))())(((()((()())((()())(()()))))()())())()(),(((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(()))(((((((()((((()())))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),(([(]))([(]))),No,CRW,--,CRW_16S_B_11719,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
Streptococcus pyogenes MGAS10270,CP000260,1829,899,930,Yes,1,16S,2,((((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))())(((()((()())((()())(()()))))()())())()(),(((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(()))(((((((()((((()())))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),(([(]))([(]))),No,CRW,--,CRW_16S_B_11720,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
Streptococcus pyogenes MGAS2096,CP000261,1829,899,930,Yes,1,16S,2,((((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))())(((()((()())((()())(()()))))()())())()(),(((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(()))(((((((()((((()())))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),(([(]))([(]))),No,CRW,--,CRW_16S_B_11723,--,No,,,,,,,
Streptococcus pyogenes MGAS2096,CP000261,1829,899,930,Yes,1,16S,2,((((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))())(((()((()())((()())(()()))))()())())()(),(((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(()))(((((((()((((()())))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),(([(]))([(]))),No,CRW,--,CRW_16S_B_11724,--,No,,,,,,,
Streptococcus pyogenes MGAS2096,CP000261,1829,899,930,Yes,1,16S,2,((((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))())(((()((()())((()())(()()))))()())())()(),(((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(()))(((((((()((((()())))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),(([(]))([(]))),No,CRW,--,CRW_16S_B_11725,--,No,,,,,,,
Streptococcus pyogenes MGAS2096,CP000261,1829,899,930,Yes,1,16S,2,((((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))())(((()((()())((()())(()()))))()())())()(),(((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(()))(((((((()((((()())))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),(([(]))([(]))),No,CRW,--,CRW_16S_B_11726,--,No,,,,,,,
Streptococcus pyogenes MGAS10750,CP000262,1829,899,930,Yes,1,16S,2,((((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))())(((()((()())((()())(()()))))()())())()(),(((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(()))(((((((()((((()())))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),(([(]))([(]))),No,CRW,--,CRW_16S_B_11729,--,No,,,,,,,
Streptococcus pyogenes MGAS10750,CP000262,1829,899,930,Yes,1,16S,2,((((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))())(((()((()())((()())(()()))))()())())()(),(((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(()))(((((((()((((()())))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),(([(]))([(]))),No,CRW,--,CRW_16S_B_11730,--,No,,,,,,,
Streptococcus pyogenes MGAS10750,CP000262,1829,899,930,Yes,1,16S,2,((((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))())(((()((()())((()())(()()))))()())())()(),(((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(()))(((((((()((((()())))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),(([(]))([(]))),No,CRW,--,CRW_16S_B_11731,--,No,,,,,,,
Streptococcus pyogenes MGAS10750,CP000262,1829,899,930,Yes,1,16S,2,((((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))())(((()((()())((()())(()()))))()())())()(),(((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(()))(((((((()((((()())))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),(([(]))([(]))),No,CRW,--,CRW_16S_B_11732,--,No,,,,,,,
Bacillus megaterium,DQ904608,1814,990,824,Yes,1,16S,2,(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()(((()((()())((()())(()()))))()())()),((((((((()))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((]))))([((((((())))((((((()))(()))))))))((()))(()(])))(())(((((((()(((()(())))((((((()())(((()))())))))))))(((())))(()))())))),([(]))([(])),No,CRW,--,CRW_16S_B_14937,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Bacillus simplex,DQ904609,1851,1025,826,Yes,1,16S,2,(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()(((()((()())((()())(()()))))()())()),((((((((((((())))))((((((())()())))(((())))(())))()())))((()))))(())(((())))([((])))))([((((((())))((((((()))(()))))))))((()))(()(])))(())(((((((()(((()(())))((((((()())(((()))())))))))))(((())))(()))())))),([(]))([(])),No,CRW,--,CRW_16S_B_14938,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Thermoanaerobacter acetoethylicus,X69336,1740,810,930,Yes,1,16S,4,[(](((()((()()())()())()())())()[(()])([(])))([((()(()()))()(()(]))))())(((()((()())((()())(()()))))()())())()(),[(](((((((((()))(((((())()())))(((())))(()))()())))((()))))(())[((())])([((])))))([((((((((()))))(((((()))(())))))))((()))(()(]))))(()))(((((((()(((()(())))((((((()())(((()))())))))))))(((())))(()))()))))(((((((((())))))))))(),[(]([(])([(])))([(]))),No,CRW,--,CRW_16S_B_16432,--,Yes,Bacteria,Firmicutes,,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacteria
Thermoanaerobacter acetoethylicus,L09163,1740,810,930,Yes,1,16S,4,[(](((()((()()())()())()())())()[(()])([(])))([((()(()()))()(()(]))))())(((()((()())((()())(()()))))()())())()(),[(](((((((((()))(((((())()())))(((())))(()))()())))((()))))(())[((())])([((])))))([((((((((()))))(((((()))(())))))))((()))(()(]))))(()))(((((((()(((()(())))((((((()())(((()))())))))))))(((())))(()))()))))(((((((((())))))))))(),[(]([(])([(])))([(]))),No,CRW,--,CRW_16S_B_16433,--,Yes,Bacteria,Firmicutes,,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacteria
Thermoanaerobacter ethanolicus,L09162,1740,808,932,Yes,1,16S,4,[(](((()((()()())()())()())())()[(()])([(])))([((()(()()))()(()(]))))())(((()((()())((()())(()()))))()())())()(),[(](((((((((()))(((((())()())))(((())))(()))()())))((()))))(())[((())])([((])))))([((((((((()))))(((((()))(())))))))((()))(()(]))))(()))(((((((()(((()(())))((((((()())(((()))())))))))))(((())))(()))()))))((((((((()))))))))(),[(]([(])([(])))([(]))),No,CRW,--,CRW_16S_B_16440,--,Yes,Bacteria,Firmicutes,,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacteria
Thermoanaerobacter thermohydrosulfuricus,L09161,1768,852,916,Yes,1,16S,4,[(](((()((()()())()())()())())()[(()])([(])))([((()(()()))()(()(]))))())(((()((()())((()())(()()))))()())())()(),[(]((((((((())(((((())()())))(((())))(()))()())))((()))))(())[((())])([((])))))([((((((((()))))(((((()))(())))))))((()))(()(]))))(()))(((((((()(((()(())))((((((()())(((()))())))))))))(((())))(()))()))))((((((((()))))))))(),[(]([(])([(])))([(]))),No,CRW,--,CRW_16S_B_16448,--,Yes,Bacteria,Firmicutes,,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacteria
Streptomyces coelicolor A3(2),AL939114,1758,826,932,Yes,1,16S,4,([)(((()((()()())()())()())())()[(()])([(])))([((()(()()))()(()(]))))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())[((())])([((])))))([(((((((())))(((((()))(())))))))((()))(()(]))))(())](((((((()((()())((((((()())(((()))())))))))))(((())))(()))()))))((((((((()))))))))(),([)([(])([(])))([(]))],No,CRW,--,CRW_16S_B_4300,--,No,,,,,,,
